"MonitoringLocation","TotalDepth_min","TotalDepth_max","maxSampleDepth_min","maxSampleDepth_max","n_DO_min","n_DO_max","year_min","year_max","TotalDepth_10","TotalDepth_90","maxSampleDepth_10","maxSampleDepth_90","n_DO_10","n_DO_90","Num_Events","boo.CBP144","Latitude","Longitude","UTMX","UTMY"
"XBF0320",1.1,1.3,1,1.5,2,3,2006,2006,1.15,1.3,1,1.25,2,2.5,6,FALSE,38.0056,-76.4679,371128,4207452
"XBF0956",4.1,5.1,3,4,4,8,2007,2007,4.16,4.74,3.6,4,4.6,6.2,7,FALSE,38.12,-76.41,376404,4220068
"XBF2099",10.1,13,1,12.7,1,14,2011,2019,11.04,12.5,10.58,12.2,11,13,75,FALSE,38.033,-76.3355,382796,4210318
"XBF3534",12.6,16.7,2,16,4,17,2006,2008,13.47,16.52,11.3,15,12.3,16,20,FALSE,38.0595,-76.444,373319,4213400
"XBF5231",6.3,7.6,6,7.3,7,9,2006,2008,6.5,7.2,6.2,6.9,8,8,21,FALSE,38.0867,-76.4483,372989,4216424
"XBF6734",7.7,8.5,7,8,8,9,2005,2005,7.73,8.27,7,8,8,9,14,FALSE,38.11183,-76.44334,373468,4219206
"XBF6843",0.8,1.8,0.5,1.3,1,3,2004,2005,1.1,1.6,0.5,1.1,1,3,55,FALSE,38.1135,-76.4285,374771,4219371
"XBF6903",1.9,4,1.5,4,3,7,2006,2008,2.08,3.76,1.88,3.5,3.8,6,19,FALSE,37.9483,-76.3283,383294,4200910
"XBF7254",3.8,4.3,3,4,4,5,2008,2008,3.92,4.24,3.3,3.88,4.6,5,7,FALSE,38.12,-76.41,376404,4220068
"XBF7495",1.3,2.5,1,2.2,2,5,2018,2019,1.5,2.2,1.2,1.97,3,4,14,FALSE,38.12348,-76.34307,382277,4220367
"XBF7904",0.9,2.3,0.4,2,1,4,2006,2019,1.2,1.8,0.8,1.3,1,3,202,FALSE,38.1311,-76.4934,369113,4221414
"XBF9130",7,8,6,8,7,9,2004,2008,7.1,7.6,6.63,7,7.9,8,40,FALSE,38.151,-76.4495,372995,4223561
"XBF9949",1.4,4.1,1,4,3,5,2004,2008,3.3,3.92,3,3,4,4,39,FALSE,38.1657,-76.4177,375807,4225149
"XBG2601",4,5.4,4,5,5,8,2006,2008,4.3,5.1,4,5,5,6,21,FALSE,38.0443,-76.3334,382998,4211569
"XBG4203",0.5,2.3,0.2,2,1,4,2018,2019,0.7,1.75,0.4,1.45,1,3,36,FALSE,38.06928,-76.32834,383483,4214335
"XBI3993",1.9,3,1.6,2.7,3,6,2011,2013,2,2.9,1.7,2.6,4,5,21,FALSE,38.06518,-75.84343,426014,4213382
"XBI6387",0.6,2,0.5,1.7,1,4,2011,2013,0.9,1.6,0.6,1.3,1,3,63,FALSE,38.1055,-75.85467,425069,4217865
"XBI7962",2.3,3.2,2,2.9,4,5,2011,2013,2.3,3.1,2,2.8,4,5,21,FALSE,38.1316,-75.89522,421541,4220794
"XBJ2003",0.8,2.8,0.5,2.5,1,5,2011,2013,1.5,2.7,1.2,2.4,3,5,21,FALSE,38.03373,-75.82832,427308,4209881
